Source,Target,Weight
"person:mohammad rizwan","place:pakistan",92
"person:rizwan batting","place:australia",1
"place:australia","place:england",73
"place:australia","place:pakistan",3828
"place:australia","place:zimbabwe",4
"place:england","place:pakistan",127
"place:england","place:zimbabwe",1
"place:pakistan","place:zimbabwe",11
"organization:icc champions","place:pakistan",1
"other:t20 world cup","place:australia",161
"person:david warner","person:hafeez",28
"organization:odi","organization:odis",1
"organization:odi","person:waqar younis",1
"organization:odis","person:waqar younis",1
"organization:nz","person:martin guptill",1
"organization:nz","person:ravindra jadeja",1
"person:martin guptill","person:ravindra jadeja",1
"person:aakash chopra","person:babar azam",1
"other:t20 world cup","person:rizwan",14
"organization:aus","person:mohammad rizwan",3
"organization:aus","person:pak",67
"person:mohammad rizwan","person:pak",2
"organization:ct17","organization:england",1
"organization:ct17","organization:icc",1
"organization:ct17","place:australia",1
"organization:ct17","place:india",1
"organization:england","organization:icc",6
"organization:england","place:australia",53
"organization:england","place:india",16
"organization:icc","place:australia",51
"organization:icc","place:india",12
"place:australia","place:india",501
"organization:t20 final","place:australia",1
"organization:t20 final","place:new zealand",1
"place:australia","place:new zealand",406
"organization:phaedra solutions","other:pakvsaus t20 world cup 2021 semi final",1
"organization:phaedra solutions","place:pakistan",1
"other:pakvsaus t20 world cup 2021 semi final","place:pakistan",1
"person:tamim iqbal","place:pakistan",1
"other:world cup final","person:david warner",1
"person:hasan ali","person:ramiz raja",2
"person:fakhar zaman","person:mitchell starc",20
"other:dibbly dobbly podcast","other:icc t20 world cup",2
"other:dibbly dobbly podcast","place:australia",2
"other:dibbly dobbly podcast","place:new zealand",1
"other:icc t20 world cup","place:australia",25
"other:icc t20 world cup","place:new zealand",7
"organization:cricket pakistan","place:cricket",1
"organization:icc","person:babar azam",4
"organization:judiciary","person:iftikhar chaudhary",1
"organization:judiciary","person:saqib nisar",1
"organization:judiciary","place:pakistan",1
"person:iftikhar chaudhary","person:saqib nisar",1
"person:iftikhar chaudhary","place:pakistan",1
"person:saqib nisar","place:pakistan",1
"person:vernon philander","place:pakistan",4
"person:david warner","person:shaheen afridi",6
"person:david warner","person:trent boult",1
"person:shaheen afridi","person:trent boult",1
"organization:pakistan star","person:shaheen shah afridi",1
"person:dhoni","person:finch",1
"other:t20 world cup","person:babar azam",58
"person:hassan ali","place:pakistan",765
"place:abu dhabi","place:dubai",12
"place:abu dhabi","place:uae",1
"place:dubai","place:uae",7
"organization:cricket","organization:pakistan",11
"organization:cricket","place:australia",24
"organization:pakistan","place:australia",663
"person:david warner","person:warner",18
"person:mary dost","place:pakistan",1
"other:dubai t20 world cup","place:australia",1
"organization:t20","place:australia",124
"person:dave mackay","place:spurs",1
"organization:icc t20","person:david warner",2
"person:babar","person:babar azam",17
"person:babar","person:warner",19
"person:babar azam","person:warner",8
"other:t20 world cup 2007","person:umer gul",1
"other:t20 world cup 2007","place:india",1
"person:umer gul","place:india",1
"organization:pakistan","other:t20 world cup",75
"organization:pakistan","person:babar",37
"organization:pakistan","person:rizwan",44
"other:t20 world cup","person:babar",4
"person:babar","person:rizwan",288
"person:babar","place:australia",54
"person:rizwan","place:australia",97
"other:t20 world cup","person:david warner",8
"other:t20 world cup","person:jos buttler",2
"other:t20 world cup","person:mohammad rizwan",45
"person:david warner","person:jos buttler",1
"person:david warner","person:mohammad rizwan",3
"person:jos buttler","person:mohammad rizwan",5
"organization:bangladesh","organization:t20",3
"organization:bangladesh","organization:west",1
"organization:bangladesh","place:australia",2
"organization:t20","organization:west",1
"organization:west","place:australia",1
"person:babar azam","person:jos buttler",7
"place:australia","place:dubai",123
"place:dubai","place:new zealand",18
"place:dubai","place:pakistan",154
"place:new zealand","place:pakistan",213
"organization:eng","organization:icc",1
"organization:eng","organization:pak",5
"organization:eng","organization:t20 wc",1
"organization:icc","organization:pak",4
"organization:icc","organization:t20 wc",1
"organization:pak","organization:t20 wc",2
"organization:kiwis","place:australia",2
"organization:nz","place:australia",38
"other:world cup","place:australia",85
"organization:t20","organization:uae",2
"person:baber","person:malik",2
"person:baber","person:rizwan",9
"person:malik","person:rizwan",198
"organization:nz","place:pakistan",52
"organization:pakvsaus","other:t20 world cup",1
"person:pak","place:pakistan",64
"person:babar azam","person:david warner",10
"person:babar azam","person:king babar",2
"person:david warner","person:king babar",1
"organization:ultra edge","person:david warner",3
"organization:ultra edge","person:pakistani batsman",1
"organization:ultra edge","person:warner",1
"person:david warner","person:pakistani batsman",1
"person:pakistani batsman","person:warner",1
"person:mitchell starc","place:australia",8
"person:kane williamson","person:starc",1
"person:kane williamson","person:kohli",1
"person:kane williamson","person:virat kohli",1
"person:kohli","person:virat kohli",4
"person:hafeez","person:warner",124
"person:lasith malinga","person:mitchell starc",1
"person:rahul dravid","person:vvs laxman",1
"person:rahul dravid","place:india",3
"person:vvs laxman","place:india",1
"organization:england","person:fakhar zaman",4
"person:fakhar zaman","place:australia",66
"person:fakhar zaman","place:india",9
"person:hasan ali","place:australia",180
"person:hasan ali","place:pakistan",425
"person:hassan ali","person:starc",2
"person:haris","person:hassan",12
"person:haris","person:shaheen",12
"person:haris","person:starc",1
"person:hassan","person:shaheen",28
"person:hassan","person:starc",1
"person:shaheen","person:starc",13
"organization:t20i","person:kl rahul",1
"organization:t20i","place:india",2
"organization:t20i","place:new zealand",2
"person:kl rahul","place:india",1
"person:kl rahul","place:new zealand",2
"place:india","place:new zealand",94
"person:samuels vs mailinga","person:starc",1
"person:samuels vs mailinga","person:williamson",1
"person:starc","person:williamson",2
"organization:hazelwood","person:pak",2
